number of bedrooms,number of bathrooms,living area,lot area,number of floors,number of views,Area of the house(excluding basement),Area of the basement,Built Year,Renovation Year,Postal Code,Lattitude,Longitude,living_area_renov,Number of schools nearby,Distance from the airport,Price
2,1,880,6380,1,0,880,0,1938,1994,122006,52.9224,-114.512,1340,3,66,490000
4,2.5,2710,35868,2,0,2710,0,1989,0,122024,52.605,-114.212,2780,3,71,482000
5,2.5,2210,9655,1,0,1460,750,1976,0,122017,52.9998,-114.412,2080,3,79,470000
3,1.75,1710,7320,1,0,1710,0,1948,0,122014,52.9812,-114.471,2260,1,72,463000
3,2.5,2680,5539,2,0,2680,0,2013,0,122025,52.7061,-113.924,2990,2,74,459990
3,2.5,2430,88426,1,0,1570,860,1985,0,122025,52.7128,-113.908,1560,3,78,452500
3,2.5,1270,1180,3,0,1270,0,2001,0,122026,52.8997,-114.582,1320,3,61,445700
4,2.25,2160,8119,1,0,1080,1080,1966,0,122027,52.7743,-114.367,1850,2,52,440000
2,1,800,4850,1,0,800,0,1944,0,122026,52.8939,-114.554,1150,2,60,440000
3,2.5,1770,2875,2,0,1770,0,1990,0,122009,52.7931,-114.587,1770,3,68,439950
3,2.25,1970,35100,2,0,1970,0,1977,0,122012,52.6935,-114.181,2340,2,70,437500
3,2.5,1770,1235,3,0,1600,170,2007,0,122028,52.9265,-114.532,1680,3,52,436110
4,1,1450,8800,1,0,1450,0,1954,0,122027,52.8046,-114.325,1260,2,62,435000
4,1.5,1920,10000,1,0,1070,850,1954,0,122027,52.8025,-114.323,1450,2,64,430000
3,2.25,2000,8030,1,0,1000,1000,1963,0,122029,52.8488,-114.304,2070,1,61,420000
3,1.5,1570,6700,1,0,1570,0,1956,0,122030,52.8322,-114.324,1570,3,78,419000
3,2.5,1930,10460,2,0,1930,0,1996,0,122015,52.7238,-114.351,2290,1,63,407500
3,2,1960,13100,1,2,1650,310,1957,0,122031,52.6719,-114.53,1960,3,72,403000
4,2.5,3630,42884,1.5,0,2300,1330,1979,0,122023,52.4917,-114.38,2830,1,80,400000
3,3.25,1320,1327,2,0,1040,280,2008,0,122032,52.8806,-114.573,1440,2,51,385000
4,1.75,1560,8700,1,0,1560,0,1967,0,122033,52.9574,-114.371,2080,3,74,382500
4,3,3110,7231,2,0,3110,0,1997,0,122023,52.5579,-114.381,2820,3,66,367500
3,1,1090,6435,1,0,1090,0,1955,0,122034,52.7634,-114.555,1340,3,80,365000
3,2,1930,11947,1,0,1930,0,1966,0,122035,52.5972,-114.341,2200,2,66,342000
2,2,1350,2560,1,0,1350,0,1976,0,122005,52.8644,-114.297,1790,1,77,335000
3,2.25,1580,16215,1,0,1580,0,1978,0,122036,52.7943,-114.087,1450,3,56,335000
3,1,1160,9180,1,0,1160,0,1968,0,122037,52.9727,-114.262,1160,1,52,315000
3,1.5,1340,7912,1.5,0,1340,0,1955,0,122038,52.9958,-114.529,1480,3,65,313000
2,1,850,6174,1,0,850,0,1950,0,122014,52.9652,-114.518,1100,1,60,308500
3,2.5,2540,5050,2,0,2540,0,2006,0,122035,52.5658,-114.245,2280,2,64,300000
2,2.5,1630,1368,2,0,1280,350,2009,0,122034,52.7789,-114.553,1590,1,74,295000
3,3,1850,19966,1,0,1090,760,1992,0,122024,52.5793,-114.224,1410,2,58,287200
4,2.5,2200,9397,2,0,2200,0,1987,0,122039,52.5706,-114.459,2310,3,80,285000
3,2.5,2090,10834,1,0,1360,730,1987,0,122040,52.5837,-114.493,1750,2,56,285000
3,1.75,1800,23103,1,0,1800,0,1968,0,122041,52.8817,-114.096,1410,3,62,284000
3,1.5,1180,10277,1,0,1180,0,1983,0,122025,52.718,-113.977,1680,3,78,275000
4,2,1480,8625,1,0,1480,0,1974,0,122042,52.692,-114.383,2130,1,60,260000
3,1.75,1370,5858,1,0,1370,0,1987,0,122043,52.6115,-114.503,1400,3,56,257950
3,1.5,1200,9720,1,0,1200,0,1965,0,122035,52.6525,-114.343,1380,3,77,242500
2,1,1210,9400,1,0,1210,0,1949,0,122034,52.7642,-114.55,1580,3,73,235000
4,2.75,2920,6605,2,0,2920,0,2012,0,122015,52.7209,-114.334,3030,1,62,625000
2,1,900,5000,1,0,900,0,1944,0,122007,52.9183,-114.585,1280,1,68,553000
3,2.5,1650,14054,1,0,1130,520,1986,0,122012,52.7121,-114.207,1940,2,57,379880
3,1,1010,9945,1,0,1010,0,1973,0,122008,52.7624,-113.953,1390,3,60,310000
3,2.5,2850,7130,2,0,1990,860,1980,0,122044,52.833,-114.479,2280,1,52,783500
2,2.5,2680,7392,1,0,2680,0,2004,0,122045,52.947,-114.216,2315,2,65,775000
4,2,2280,6010,1,0,1140,1140,1900,0,122044,52.8334,-114.479,2240,1,51,628000
3,2.5,2200,7350,1,0,1570,630,1988,0,122046,52.6695,-114.351,2350,2,53,365000
4,2.5,2530,9933,2,2,2010,520,1990,0,122023,52.4954,-114.406,2140,2,59,331950
7,8,13540,307752,3,4,9410,4130,1999,0,122045,52.8975,-114.176,4850,1,55,2280000
2,2.5,2220,4000,2,0,2220,0,2000,0,122047,52.8664,-114.47,1870,3,67,1430000
5,3.5,4010,8510,2,1,2850,1160,1971,0,122004,52.8878,-114.476,2610,1,50,1400000
4,2.5,4340,141570,2.5,0,4340,0,1992,0,122045,52.9105,-114.238,2720,1,73,1090000
5,2.75,3190,16920,1,3,1690,1500,1976,0,122027,52.7941,-114.35,3100,1,53,1030000
3,1,1330,77972,1,0,1330,0,1928,1954,122010,52.9191,-114.349,1340,3,52,900000
4,4.25,4420,5750,2,0,3410,1010,2006,0,122012,52.7704,-114.263,4420,1,57,890000
5,3.5,4490,6000,2,0,3200,1290,2006,0,122012,52.7696,-114.263,4530,2,70,890000
4,3,3690,9892,2,0,3690,0,1998,0,122020,52.8237,-114.172,3430,3,62,865000
4,2.75,2600,5390,1,0,1300,1300,1960,0,122032,52.8682,-114.587,2550,2,69,855000
4,3,2170,4000,2,0,1610,560,1982,2011,122047,52.8496,-114.482,1670,3,73,831000
4,2.5,3400,9692,2,0,3400,0,2007,0,122005,52.938,-114.299,3070,3,58,830000
6,1.75,2920,5000,2.5,0,2780,140,1908,0,122044,52.8324,-114.485,2020,3,68,823000
5,2.5,3180,13806,2,0,3180,0,1990,0,122010,52.882,-114.372,3180,1,76,800866
3,2.5,3240,7857,2,0,3240,0,1994,0,122020,52.8157,-114.228,2970,3,66,800000
3,1.75,1330,7500,1,0,1330,0,1961,0,122048,52.8374,-114.385,1690,3,56,787000
4,2.5,2730,10281,2,2,2730,0,1996,0,122019,52.8527,-114.219,2750,3,79,780000
3,2,2350,5700,1.5,0,1810,540,1939,0,122047,52.869,-114.5,2170,1,77,770000
4,2.5,2120,10202,1,0,1620,500,1960,0,122049,52.8158,-114.36,1570,2,73,755000
4,1.75,2010,3600,1.5,0,2010,0,1902,0,122003,52.8637,-114.561,2010,2,55,740000
4,2.5,3180,21904,2,3,3180,0,2000,0,122015,52.745,-114.307,3715,2,77,736500
4,2.5,2450,4247,2,0,2450,0,2013,0,122005,52.9348,-114.303,2970,1,75,712198
3,2.5,2490,4343,2,0,2490,0,2003,0,122011,52.7793,-114.183,2130,3,59,705380
3,2.5,1680,2000,3,0,1680,0,1909,1998,122004,52.8904,-114.48,1950,3,69,670000
4,2.5,2800,5900,1,0,1660,1140,1963,0,122006,52.9109,-114.476,2580,2,63,665000
4,1,1390,4240,1,0,1050,340,1924,0,122028,52.8896,-114.528,1810,1,68,657100
3,1.5,2160,9000,1,2,1400,760,1949,0,122050,52.9541,-114.559,3010,2,75,650000
4,2.5,2440,6651,2,0,2440,0,2014,0,122007,52.9271,-114.561,1350,2,77,631625
4,2.25,1990,7712,1,0,1210,780,1973,0,122012,52.7988,-114.277,1720,3,61,627000
3,1.75,1480,2185,2.5,0,1480,0,2005,0,122033,52.9245,-114.36,1480,2,52,620000
3,2,1800,5000,1,0,1080,720,1942,0,122006,52.9038,-114.487,1800,1,69,618500
4,1.75,2300,11700,1,0,1960,340,1977,0,122005,52.8631,-114.284,2840,3,50,615000
3,1.75,1670,39639,1,0,1670,0,1976,1992,122020,52.8229,-114.179,2330,1,77,600000
3,1.75,1880,6360,1,0,1040,840,1945,0,122006,52.9178,-114.476,1770,2,57,600000
2,1,1770,8640,1.5,0,1520,250,1949,0,122007,52.9226,-114.553,1060,3,77,585000
2,1,2540,7000,1,0,1320,1220,1942,0,122051,52.7559,-114.451,2160,3,77,580000
3,2.25,2010,6000,1,0,1330,680,1975,0,122005,52.9212,-114.305,2080,2,78,570000
3,2.5,1900,8744,2,0,1900,0,1987,0,122019,52.85,-114.233,2030,2,58,560000
3,2.5,1940,3211,2,0,1940,0,2009,0,122012,52.7944,-114.283,1880,3,60,555000
2,1,1140,5400,1,0,1140,0,1908,0,122047,52.8505,-114.484,1520,1,68,549000
4,2.5,2910,6338,2,0,2910,0,2008,0,122015,52.7104,-114.316,2500,3,54,549000
5,2.75,2740,8426,1,0,1370,1370,1960,0,122027,52.7863,-114.374,2020,1,69,541125
2,3,1270,1175,2,0,1110,160,2000,0,122028,52.8934,-114.53,1290,1,71,531000
5,1.75,2550,71874,1,0,1810,740,1960,0,122012,52.7145,-114.27,2170,2,65,525888
3,1.75,1560,5520,1,0,780,780,1944,0,122032,52.8815,-114.589,1470,3,70,524000
3,2.5,1790,2700,2,0,1790,0,2010,0,122012,52.794,-114.283,1890,1,79,509900
4,1,2070,7519,1,0,1160,910,1963,0,122029,52.862,-114.309,1730,2,56,501000
4,2.5,2910,6479,2,0,2910,0,2006,0,122008,52.7702,-114.077,2320,1,50,499000
6,2.75,3200,9200,1,2,1600,1600,1953,0,122052,52.722,-114.554,2220,2,56,497300
4,1.75,2010,9211,1,0,1470,540,1977,0,122033,52.9506,-114.361,1840,3,62,487585
4,3,2340,7048,1,0,1340,1000,1979,0,122033,52.9606,-114.417,1440,1,53,485000
3,2.5,3040,4535,2,0,3040,0,2007,0,122053,52.74,-114.375,2670,2,79,478000
4,2,1480,3844,1.5,0,1480,0,1928,0,122038,52.9342,-114.542,1480,1,73,449250
5,2,1840,9240,1,0,1540,300,1942,1958,122038,52.9608,-114.53,1200,3,78,435000
2,2.5,1590,1426,2,0,1590,0,2014,0,122011,52.7741,-114.203,1590,2,80,419190
3,2,1410,6030,1.5,0,1410,0,1930,0,122028,52.9294,-114.537,1410,2,51,418000
3,2.5,1408,989,3,0,1408,0,2005,0,122006,52.9156,-114.505,1408,1,64,416286
3,2.25,1620,998,2.5,0,1540,80,2010,0,122012,52.7701,-114.217,1620,3,59,415000
3,2.25,1800,36704,1,0,1360,440,1978,0,122012,52.6988,-114.203,2730,1,74,410000
3,2.25,1410,1332,3,0,1410,0,2005,0,122028,52.9216,-114.53,1430,2,70,406100
2,3,1410,1240,2,0,1140,270,2006,0,122016,52.7521,-114.58,1410,3,74,405000
2,1.75,2110,9519,1,0,2110,0,1948,0,122014,52.9804,-114.496,1480,2,77,400000
2,1,840,5510,1,0,840,0,1955,0,122016,52.7547,-114.581,1630,2,79,400000
3,2.5,2230,4000,2,0,2230,0,1954,0,122054,52.8101,-114.496,1310,3,78,398750
5,2.5,3090,12750,1,0,1750,1340,1968,0,122018,52.5708,-114.525,1760,2,63,384900
4,1.75,1970,9389,1,0,1140,830,1960,0,122038,53.0071,-114.529,1820,1,72,379950
3,3,1571,10800,3,0,1571,0,2008,0,122022,52.9638,-114.499,1520,1,62,366750
5,1,1120,9022,1.5,0,1120,0,1962,0,122033,52.9596,-114.43,1310,3,69,340000
2,1.5,1160,1438,2,0,1160,0,2001,0,122054,52.8217,-114.485,1220,1,72,340000
2,1,1140,5250,1.5,0,1140,0,1949,0,122038,52.961,-114.531,1450,2,65,329950
4,2.5,2370,6500,2,0,2370,0,1998,0,122023,52.5628,-114.363,2590,3,60,328000
4,2.75,2310,5000,2,0,2310,0,2006,0,122024,52.5914,-114.225,1980,3,68,309950
3,2.5,1880,7838,2,0,1880,0,1994,0,122042,52.6739,-114.38,1810,3,52,309950
3,2,1050,10072,1,0,1050,0,1986,0,122055,52.9641,-114.166,1130,3,56,300000
3,1,1450,6000,1,0,1450,0,1953,0,122051,52.7538,-114.477,1170,2,61,287000
3,2,1550,15040,1,0,1550,0,1958,0,122015,52.7173,-114.289,1510,3,65,249950
3,1.75,1920,9306,1,0,1000,920,1984,0,122039,52.5619,-114.457,1860,3,54,245000
2,1,1200,8063,1,0,1200,0,1958,0,122043,52.6504,-114.514,1200,2,56,232000
4,1.5,1240,9600,1,0,1240,0,1971,0,122018,52.5506,-114.587,1240,1,52,220000
4,1.5,1120,5427,1,0,1120,0,1969,2014,122035,52.5928,-114.277,1150,3,77,219900
3,1,1340,306848,1,0,1340,0,1953,0,122055,52.9834,-114.102,1800,1,58,210000
5,2,2050,10200,1,0,1430,620,1956,0,122043,52.6436,-114.523,1940,1,73,210000
2,1,810,7158,1,0,810,0,1944,0,122056,52.7182,-114.515,1090,2,75,206000
3,1.75,1490,10125,1,0,1490,0,1962,0,122039,52.5375,-114.474,2488,1,55,184000
5,4,4510,15175,2,0,4510,0,1969,2002,122057,52.7609,-114.418,3510,1,65,1870000
5,5,4490,10279,2,0,3930,560,2013,0,122048,52.8274,-114.392,2490,1,68,1800000
4,3.25,3760,10920,1.5,0,2400,1360,1950,0,122004,52.8987,-114.454,3430,3,62,1580000
4,2.25,3490,6906,2,0,2280,1210,1928,0,122032,52.8724,-114.597,2540,1,61,1230000
4,2.75,3370,8103,1,3,1970,1400,1970,2014,122016,52.7532,-114.573,2120,2,60,1140000
3,2.5,2200,1970,2,0,1610,590,2008,0,122013,52.8726,-114.517,1890,3,65,1050000
3,2.5,2690,4047,3,0,2690,0,2014,0,122007,52.9097,-114.575,2040,1,65,979000
3,3.5,3020,4082,2,0,2080,940,1954,2004,122032,52.881,-114.599,2060,1,60,910000
4,2,3740,32417,2,0,3740,0,2000,0,122045,52.9028,-114.202,3180,2,73,860000
4,2.5,3040,6425,2,0,3040,0,2008,0,122005,52.9088,-114.307,3040,2,57,776000
4,2.5,3880,14550,2,0,3880,0,1987,0,122019,52.8678,-114.23,3240,3,55,762300
4,2.5,2290,12047,2,0,2290,0,1988,0,122027,52.7899,-114.295,3130,1,50,736000
4,2.5,3200,12369,2,0,3200,0,1998,0,122015,52.7573,-114.333,3770,2,61,725126
4,2.5,3030,7864,2,0,3030,0,1999,0,122019,52.8375,-114.207,2790,3,74,685000
2,1,930,36478,1,2,930,0,1951,0,122027,52.7999,-114.354,2800,3,79,675000
4,3.5,3380,8330,2,0,3380,0,2000,0,122050,53.0041,-114.569,2220,2,76,655500
3,1.5,1630,7475,1,1,1160,470,1940,0,122006,52.9025,-114.462,2320,1,65,650000
5,3.5,3480,36615,2,0,2490,990,1983,0,122020,52.8041,-114.24,2540,3,66,650000
4,2,2060,5000,1,0,1030,1030,1949,2013,122007,52.9292,-114.569,1280,1,66,612500
4,3,2450,10117,1,0,1580,870,1967,0,122027,52.7994,-114.322,2530,2,78,610000
4,2.5,2150,37981,2,0,2150,0,1985,0,122005,52.9527,-114.288,2450,2,69,609000
4,2.5,2110,13850,2,0,2110,0,1987,0,122012,52.7797,-114.267,2520,2,50,606000
4,2.25,2260,29930,2,0,1400,860,1977,0,122027,52.7989,-114.316,2770,3,58,599000
4,3.25,3569,8327,2,0,3569,0,2013,0,122042,52.6895,-114.398,2550,1,69,580000
3,1.75,2130,6500,1,2,1170,960,1954,0,122032,52.8724,-114.576,2020,3,58,575000
4,3,3100,15480,2,0,2400,700,1996,0,122058,52.9766,-114.431,2000,2,67,563000
5,2.25,3040,8111,2,0,3040,0,1984,0,122005,52.9457,-114.293,2020,3,72,562000
3,2,2000,5500,2,0,2000,0,1916,1986,122016,52.7752,-114.583,1840,2,62,561000
3,2.5,1850,10109,2,0,1850,0,1991,0,122033,52.9463,-114.419,1780,3,56,535000
5,2.75,1800,3780,1.5,0,1400,400,1926,0,122028,52.9131,-114.533,1400,1,79,533000
5,2.5,2910,5133,1,0,1690,1220,1964,0,122029,52.8103,-114.309,2830,3,54,530000
3,2.5,2970,11985,1,0,1770,1200,1995,0,122019,52.8659,-114.242,2990,3,70,525000
3,2.5,2460,54885,2,0,2460,0,1980,0,122015,52.7296,-114.336,2770,1,77,520000
3,1.5,1430,8000,1,0,1430,0,1956,0,122030,52.8174,-114.326,1450,2,78,518000
3,2.5,1790,7167,2,0,1790,0,1989,0,122019,52.8476,-114.235,1680,3,71,515000
4,2.5,2000,5684,2,0,2000,0,1996,0,122058,52.9743,-114.41,2210,3,72,513000
3,2.5,1480,1171,3,0,1480,0,2006,0,122047,52.85,-114.49,1480,1,56,500000
2,1.75,1170,2400,1,0,740,430,1903,0,122028,52.8953,-114.523,1570,1,54,499000
5,2,2020,5000,1.5,0,2020,0,1938,0,122007,52.9249,-114.56,1510,1,57,488000
3,2,1420,4080,1.5,0,1420,0,1905,2013,122028,52.9172,-114.539,1420,2,55,485000
2,1.75,1660,6000,1,0,1160,500,1942,0,122004,52.8924,-114.481,1660,2,76,484000
4,2.5,2740,45732,2,0,2740,0,1995,0,122037,52.97,-114.238,2080,2,70,483500
6,3,3470,117612,1.5,0,3470,0,1924,0,122058,52.9963,-114.424,2120,3,65,475000
2,1,1030,4400,1,0,1030,0,1924,0,122007,52.911,-114.551,1400,2,61,469000
3,2.25,1970,11088,1,0,1180,790,1967,0,122014,52.9951,-114.467,1970,3,56,465000
2,2.25,1230,929,2,0,1020,210,2004,0,122044,52.8491,-114.491,1270,2,73,460000
5,2.5,2240,7770,1,0,1340,900,1978,0,122033,52.9498,-114.361,1820,2,52,455000
2,2,1100,3000,1.5,0,1100,0,1912,2005,122007,52.9097,-114.552,1390,3,70,450000
4,2,1520,7983,1,0,1520,0,1967,0,122033,52.9657,-114.383,1520,1,60,425000
4,2.25,2810,23400,1,1,1710,1100,1958,0,122043,52.625,-114.501,1860,1,71,407000
4,1.75,1840,10720,1,0,960,880,1958,0,122029,52.8374,-114.315,1840,1,64,404000
4,2,1440,7680,1,0,1200,240,1971,0,122033,52.9545,-114.39,1460,3,66,397000
3,1.75,1260,6500,1,0,1260,0,1966,0,122029,52.8524,-114.306,1500,3,51,390000
5,3.75,2890,5000,1,0,1310,1580,2006,0,122059,52.8001,-114.486,1930,1,72,390000
3,1,1230,9568,1,0,1230,0,1962,0,122053,52.769,-114.369,1270,2,56,387000
3,1.75,1900,5520,1,0,1280,620,1982,0,122051,52.7849,-114.482,1330,3,50,385000
4,1.75,1500,11600,1,0,1000,500,1955,0,122058,52.9673,-114.431,1740,2,65,379900
3,2,1270,1320,3,0,1270,0,2006,0,122028,52.9237,-114.532,1370,2,59,369950
3,1.5,1410,9647,1,0,1410,0,1961,0,122050,52.9908,-114.551,2090,2,78,367500
3,1.5,1310,8160,1,0,1310,0,1950,0,122038,52.9591,-114.529,1090,1,69,365000
3,2.25,1640,14374,1,0,1140,500,1963,0,122060,52.6776,-114.522,2020,2,70,362000
4,2,2680,18768,1,0,2680,0,1965,0,122039,52.5482,-114.469,1230,1,54,360000
3,1,1350,7740,1,0,860,490,1947,0,122022,52.9398,-114.481,1130,2,64,353000
4,2.5,2331,3826,2,0,2331,0,2007,0,122046,52.6744,-114.372,2441,2,65,345000
3,1,1110,6250,1,0,1110,0,1956,0,122006,52.9277,-114.482,2010,3,61,345000
2,1,720,6687,1,0,720,0,1942,0,122007,52.9301,-114.552,840,2,53,329350
4,2.5,1890,12040,1,0,980,910,1980,0,122034,52.781,-114.546,1590,1,78,325000
3,1,1510,6083,1,0,860,650,1940,0,122006,52.9266,-114.514,1510,2,73,313950
4,2,1300,7054,1,0,1300,0,1950,2013,122052,52.7371,-114.559,1560,1,64,312000
3,2.25,1980,8000,1,0,1560,420,1974,0,122018,52.5449,-114.568,2360,3,51,295000
4,2.5,2000,5390,2,0,2000,0,2003,0,122035,52.6032,-114.319,2330,3,73,284000
3,1.75,1630,11800,1,0,1630,0,1971,0,122025,52.7163,-113.92,2090,2,75,280000
3,1.75,1580,8151,1,1,1100,480,1962,0,122043,52.5972,-114.502,1650,3,79,279900
3,2.5,1650,13816,2,0,1650,0,1998,0,122041,52.8853,-114.102,1650,1,61,272000
3,1,1050,6874,1,0,1050,0,1954,0,122038,52.992,-114.545,1500,3,53,250000
3,1.75,1490,8366,1,0,1010,480,1975,0,122035,52.605,-114.33,1490,1,74,234000
2,1,900,5160,1,0,900,0,1952,0,122034,52.755,-114.546,900,2,68,219000
3,1.75,1850,7684,1,0,1320,530,1979,0,122018,52.5275,-114.56,1940,2,55,218000
3,1.75,1690,7735,1,0,1060,630,1976,0,122039,52.5624,-114.47,1580,2,52,197000
3,1.5,800,8850,1,0,800,0,1959,0,122018,52.5566,-114.538,820,2,50,191000
3,1,1010,7034,1,0,1010,0,1954,0,122042,52.72,-114.41,1440,1,50,175000
3,1.5,1420,8580,1,0,1420,0,1962,0,122018,52.5376,-114.552,1200,1,71,136500
2,1,780,16344,1,0,780,0,1942,0,122056,52.7039,-114.47,1700,2,51,78000
7,4.5,6210,8856,2.5,2,4760,1450,1910,0,122061,52.8607,-114.544,2940,1,64,3200000
5,4.5,4270,8076,2,0,3400,870,2007,0,122010,52.929,-114.396,4100,2,72,1530000
6,2.5,3560,6480,2.5,0,3560,0,1914,0,122047,52.857,-114.494,2780,2,66,1500000
3,3,2960,5500,2,2,2440,520,1937,1990,122032,52.8656,-114.592,2960,3,80,1340000
4,4,4460,103382,2,0,4460,0,2001,0,122045,52.864,-114.187,3470,3,77,1150000
4,1.5,2310,13300,1,0,1890,420,1950,0,122048,52.8532,-114.4,2840,2,61,1110000
4,3.5,3900,8391,2,0,3900,0,2006,0,122010,52.9279,-114.395,3820,2,73,1040000
4,2.25,1890,5940,1,1,1470,420,1963,0,122047,52.8616,-114.493,2430,1,62,940000
5,3.75,4130,226076,2,0,3170,960,1985,0,122037,52.945,-114.255,4130,3,55,900000
4,2,2210,8556,1,1,1210,1000,1954,0,122032,52.8798,-114.586,2190,1,65,794154
3,2,2540,7200,1.5,3,1600,940,1905,0,122054,52.8272,-114.482,2040,2,72,775000
4,2.75,2410,9549,1,0,1780,630,1956,0,122010,52.8803,-114.387,2090,2,63,758000
3,2.75,2520,23790,1,0,1360,1160,1946,0,122003,52.8752,-114.563,1800,2,80,750000
4,2.75,2600,6050,2,0,1960,640,1949,0,122009,52.7956,-114.59,1990,2,78,749950
4,2.5,2650,4316,1.5,0,1520,1130,1905,2013,122009,52.8166,-114.579,1690,3,53,705000
3,2,1760,6428,1,0,980,780,1942,0,122032,52.8688,-114.587,1760,3,74,690000
3,1.75,1680,10500,1,0,1680,0,1959,0,122049,52.8398,-114.359,2250,2,70,675000
4,4,3680,18804,2,0,3680,0,1990,0,122019,52.8493,-114.204,3200,2,79,675000
3,2.5,3240,108366,2,0,3240,0,1991,0,122035,52.557,-114.284,2090,2,71,651000
3,3,2270,5175,2,0,2130,140,2002,0,122053,52.746,-114.393,2850,1,62,640000
3,2.5,2680,327135,2,0,2680,0,1995,0,122062,52.6083,-114.193,2020,1,55,630000
2,2.25,2550,5663,1,0,1720,830,2011,0,122053,52.7604,-114.392,2560,3,80,630000
3,2.5,2030,6500,2,0,2030,0,1988,0,122012,52.7954,-114.282,2030,1,66,618080
3,3,1680,1570,3,0,1680,0,2014,0,122028,52.8872,-114.536,1640,3,62,610950
3,2.5,2460,108900,1,0,1860,600,1977,0,122012,52.7124,-114.19,2870,1,55,600000
9,4.5,3830,6988,2.5,0,2450,1380,1938,0,122028,52.9227,-114.528,1460,1,62,599999
3,1.75,1960,4788,1,0,1090,870,1920,0,122006,52.9046,-114.502,1960,2,66,599000
4,2,2510,13695,1,0,1280,1230,1961,2001,122010,52.9305,-114.364,1220,2,74,581000
4,2,1650,5000,1,0,1650,0,1955,0,122007,52.9081,-114.564,1690,3,53,575000
3,2,2350,5080,1.5,0,1780,570,1929,0,122051,52.7816,-114.453,1700,1,65,568000
3,3,4120,60392,2,2,3180,940,1994,0,122041,52.9104,-114.103,2770,3,51,560000
3,2,1860,13374,1,0,1860,0,1985,0,122012,52.7697,-114.244,1960,3,57,560000
7,5.75,3700,7647,2,1,3700,0,1948,1984,122014,52.9693,-114.479,2510,1,65,540000
3,1.75,2720,149410,1.5,0,2720,0,1988,0,122041,52.9392,-114.082,2560,1,58,535000
3,2.5,2280,2289,2,0,1880,400,2006,0,122012,52.7675,-114.263,2280,3,65,535000
3,1,1340,4284,1,0,1080,260,1910,0,122004,52.8933,-114.514,1960,2,71,530000
2,2,1550,2400,1.5,0,1550,0,1900,0,122028,52.884,-114.536,1180,3,66,526000
3,2.25,1170,1249,3,0,1170,0,2014,0,122026,52.9022,-114.571,1350,3,59,519950
3,1.75,1580,9147,1,1,1210,370,1967,0,122029,52.8369,-114.302,2600,3,62,515000
4,2.5,2430,5203,2,0,2430,0,2003,0,122014,52.9702,-114.507,2260,3,58,510000
