number of bedrooms,number of bathrooms,living area,lot area,number of floors,number of views,Area of the house(excluding basement),Area of the basement,Built Year,Renovation Year,living_area_renov,Number of schools nearby,Distance from the airport,Price
2,1,880,6380,1,0,880,0,1938,1994,1340,3,66,490000
4,2,2710,35868,2,0,2710,0,1989,0,2780,3,71,482000
5,2,2210,9655,1,0,1460,750,1976,0,2080,3,79,470000
3,1,1710,7320,1,0,1710,0,1948,0,2260,1,72,463000
3,2,2680,5539,2,0,2680,0,2013,0,2990,2,74,459990
3,2,2430,88426,1,0,1570,860,1985,0,1560,3,78,452500
3,2,1270,1180,3,0,1270,0,2001,0,1320,3,61,445700
4,2,2160,8119,1,0,1080,1080,1966,0,1850,2,52,440000
2,1,800,4850,1,0,800,0,1944,0,1150,2,60,440000
3,2,1770,2875,2,0,1770,0,1990,0,1770,3,68,439950
3,2,1970,35100,2,0,1970,0,1977,0,2340,2,70,437500
3,2,1770,1235,3,0,1600,170,2007,0,1680,3,52,436110
4,1,1450,8800,1,0,1450,0,1954,0,1260,2,62,435000
4,1,1920,10000,1,0,1070,850,1954,0,1450,2,64,430000
3,2,2000,8030,1,0,1000,1000,1963,0,2070,1,61,420000
3,1,1570,6700,1,0,1570,0,1956,0,1570,3,78,419000
3,2,1930,10460,2,0,1930,0,1996,0,2290,1,63,407500
3,2,1960,13100,1,2,1650,310,1957,0,1960,3,72,403000
4,2,3630,42884,1,0,2300,1330,1979,0,2830,1,80,400000
3,3,1320,1327,2,0,1040,280,2008,0,1440,2,51,385000
4,1,1560,8700,1,0,1560,0,1967,0,2080,3,74,382500
4,3,3110,7231,2,0,3110,0,1997,0,2820,3,66,367500
3,1,1090,6435,1,0,1090,0,1955,0,1340,3,80,365000
3,2,1930,11947,1,0,1930,0,1966,0,2200,2,66,342000
2,2,1350,2560,1,0,1350,0,1976,0,1790,1,77,335000
3,2,1580,16215,1,0,1580,0,1978,0,1450,3,56,335000
3,1,1160,9180,1,0,1160,0,1968,0,1160,1,52,315000
3,1,1340,7912,1,0,1340,0,1955,0,1480,3,65,313000
2,1,850,6174,1,0,850,0,1950,0,1100,1,60,308500
3,2,2540,5050,2,0,2540,0,2006,0,2280,2,64,300000
2,2,1630,1368,2,0,1280,350,2009,0,1590,1,74,295000
3,3,1850,19966,1,0,1090,760,1992,0,1410,2,58,287200
4,2,2200,9397,2,0,2200,0,1987,0,2310,3,80,285000
3,2,2090,10834,1,0,1360,730,1987,0,1750,2,56,285000
3,1,1800,23103,1,0,1800,0,1968,0,1410,3,62,284000
3,1,1180,10277,1,0,1180,0,1983,0,1680,3,78,275000
4,2,1480,8625,1,0,1480,0,1974,0,2130,1,60,260000
3,1,1370,5858,1,0,1370,0,1987,0,1400,3,56,257950
3,1,1200,9720,1,0,1200,0,1965,0,1380,3,77,242500
2,1,1210,9400,1,0,1210,0,1949,0,1580,3,73,235000
4,2,2920,6605,2,0,2920,0,2012,0,3030,1,62,625000
2,1,900,5000,1,0,900,0,1944,0,1280,1,68,553000
3,2,1650,14054,1,0,1130,520,1986,0,1940,2,57,379880
3,1,1010,9945,1,0,1010,0,1973,0,1390,3,60,310000
3,2,2850,7130,2,0,1990,860,1980,0,2280,1,52,783500
2,2,2680,7392,1,0,2680,0,2004,0,2315,2,65,775000
4,2,2280,6010,1,0,1140,1140,1900,0,2240,1,51,628000
3,2,2200,7350,1,0,1570,630,1988,0,2350,2,53,365000
4,2,2530,9933,2,2,2010,520,1990,0,2140,2,59,331950
7,8,13540,307752,3,4,9410,4130,1999,0,4850,1,55,2280000
2,2,2220,4000,2,0,2220,0,2000,0,1870,3,67,1430000
5,3,4010,8510,2,1,2850,1160,1971,0,2610,1,50,1400000
4,2,4340,141570,2,0,4340,0,1992,0,2720,1,73,1090000
5,2,3190,16920,1,3,1690,1500,1976,0,3100,1,53,1030000
3,1,1330,77972,1,0,1330,0,1928,1954,1340,3,52,900000
4,4,4420,5750,2,0,3410,1010,2006,0,4420,1,57,890000
5,3,4490,6000,2,0,3200,1290,2006,0,4530,2,70,890000
4,3,3690,9892,2,0,3690,0,1998,0,3430,3,62,865000
4,2,2600,5390,1,0,1300,1300,1960,0,2550,2,69,855000
4,3,2170,4000,2,0,1610,560,1982,2011,1670,3,73,831000
4,2,3400,9692,2,0,3400,0,2007,0,3070,3,58,830000
6,1,2920,5000,2,0,2780,140,1908,0,2020,3,68,823000
5,2,3180,13806,2,0,3180,0,1990,0,3180,1,76,800866
3,2,3240,7857,2,0,3240,0,1994,0,2970,3,66,800000
3,1,1330,7500,1,0,1330,0,1961,0,1690,3,56,787000
4,2,2730,10281,2,2,2730,0,1996,0,2750,3,79,780000
3,2,2350,5700,1,0,1810,540,1939,0,2170,1,77,770000
4,2,2120,10202,1,0,1620,500,1960,0,1570,2,73,755000
4,1,2010,3600,1,0,2010,0,1902,0,2010,2,55,740000
4,2,3180,21904,2,3,3180,0,2000,0,3715,2,77,736500
4,2,2450,4247,2,0,2450,0,2013,0,2970,1,75,712198
3,2,2490,4343,2,0,2490,0,2003,0,2130,3,59,705380
3,2,1680,2000,3,0,1680,0,1909,1998,1950,3,69,670000
4,2,2800,5900,1,0,1660,1140,1963,0,2580,2,63,665000
4,1,1390,4240,1,0,1050,340,1924,0,1810,1,68,657100
3,1,2160,9000,1,2,1400,760,1949,0,3010,2,75,650000
4,2,2440,6651,2,0,2440,0,2014,0,1350,2,77,631625
4,2,1990,7712,1,0,1210,780,1973,0,1720,3,61,627000
3,1,1480,2185,2,0,1480,0,2005,0,1480,2,52,620000
3,2,1800,5000,1,0,1080,720,1942,0,1800,1,69,618500
4,1,2300,11700,1,0,1960,340,1977,0,2840,3,50,615000
3,1,1670,39639,1,0,1670,0,1976,1992,2330,1,77,600000
3,1,1880,6360,1,0,1040,840,1945,0,1770,2,57,600000
2,1,1770,8640,1,0,1520,250,1949,0,1060,3,77,585000
2,1,2540,7000,1,0,1320,1220,1942,0,2160,3,77,580000
3,2,2010,6000,1,0,1330,680,1975,0,2080,2,78,570000
3,2,1900,8744,2,0,1900,0,1987,0,2030,2,58,560000
3,2,1940,3211,2,0,1940,0,2009,0,1880,3,60,555000
2,1,1140,5400,1,0,1140,0,1908,0,1520,1,68,549000
4,2,2910,6338,2,0,2910,0,2008,0,2500,3,54,549000
5,2,2740,8426,1,0,1370,1370,1960,0,2020,1,69,541125
2,3,1270,1175,2,0,1110,160,2000,0,1290,1,71,531000
5,1,2550,71874,1,0,1810,740,1960,0,2170,2,65,525888
3,1,1560,5520,1,0,780,780,1944,0,1470,3,70,524000
3,2,1790,2700,2,0,1790,0,2010,0,1890,1,79,509900
4,1,2070,7519,1,0,1160,910,1963,0,1730,2,56,501000
4,2,2910,6479,2,0,2910,0,2006,0,2320,1,50,499000
6,2,3200,9200,1,2,1600,1600,1953,0,2220,2,56,497300
4,1,2010,9211,1,0,1470,540,1977,0,1840,3,62,487585
4,3,2340,7048,1,0,1340,1000,1979,0,1440,1,53,485000
3,2,3040,4535,2,0,3040,0,2007,0,2670,2,79,478000
4,2,1480,3844,1,0,1480,0,1928,0,1480,1,73,449250
5,2,1840,9240,1,0,1540,300,1942,1958,1200,3,78,435000
2,2,1590,1426,2,0,1590,0,2014,0,1590,2,80,419190
3,2,1410,6030,1,0,1410,0,1930,0,1410,2,51,418000
3,2,1408,989,3,0,1408,0,2005,0,1408,1,64,416286
3,2,1620,998,2,0,1540,80,2010,0,1620,3,59,415000
3,2,1800,36704,1,0,1360,440,1978,0,2730,1,74,410000
3,2,1410,1332,3,0,1410,0,2005,0,1430,2,70,406100
2,3,1410,1240,2,0,1140,270,2006,0,1410,3,74,405000
2,1,2110,9519,1,0,2110,0,1948,0,1480,2,77,400000
2,1,840,5510,1,0,840,0,1955,0,1630,2,79,400000
3,2,2230,4000,2,0,2230,0,1954,0,1310,3,78,398750
5,2,3090,12750,1,0,1750,1340,1968,0,1760,2,63,384900
4,1,1970,9389,1,0,1140,830,1960,0,1820,1,72,379950
3,3,1571,10800,3,0,1571,0,2008,0,1520,1,62,366750
5,1,1120,9022,1,0,1120,0,1962,0,1310,3,69,340000
2,1,1160,1438,2,0,1160,0,2001,0,1220,1,72,340000
2,1,1140,5250,1,0,1140,0,1949,0,1450,2,65,329950
4,2,2370,6500,2,0,2370,0,1998,0,2590,3,60,328000
4,2,2310,5000,2,0,2310,0,2006,0,1980,3,68,309950
3,2,1880,7838,2,0,1880,0,1994,0,1810,3,52,309950
3,2,1050,10072,1,0,1050,0,1986,0,1130,3,56,300000
3,1,1450,6000,1,0,1450,0,1953,0,1170,2,61,287000
3,2,1550,15040,1,0,1550,0,1958,0,1510,3,65,249950
3,1,1920,9306,1,0,1000,920,1984,0,1860,3,54,245000
2,1,1200,8063,1,0,1200,0,1958,0,1200,2,56,232000
4,1,1240,9600,1,0,1240,0,1971,0,1240,1,52,220000
4,1,1120,5427,1,0,1120,0,1969,2014,1150,3,77,219900
3,1,1340,306848,1,0,1340,0,1953,0,1800,1,58,210000
5,2,2050,10200,1,0,1430,620,1956,0,1940,1,73,210000
2,1,810,7158,1,0,810,0,1944,0,1090,2,75,206000
3,1,1490,10125,1,0,1490,0,1962,0,2488,1,55,184000
5,4,4510,15175,2,0,4510,0,1969,2002,3510,1,65,1870000
5,5,4490,10279,2,0,3930,560,2013,0,2490,1,68,1800000
4,3,3760,10920,1,0,2400,1360,1950,0,3430,3,62,1580000
4,2,3490,6906,2,0,2280,1210,1928,0,2540,1,61,1230000
4,2,3370,8103,1,3,1970,1400,1970,2014,2120,2,60,1140000
3,2,2200,1970,2,0,1610,590,2008,0,1890,3,65,1050000
3,2,2690,4047,3,0,2690,0,2014,0,2040,1,65,979000
3,3,3020,4082,2,0,2080,940,1954,2004,2060,1,60,910000
4,2,3740,32417,2,0,3740,0,2000,0,3180,2,73,860000
4,2,3040,6425,2,0,3040,0,2008,0,3040,2,57,776000
4,2,3880,14550,2,0,3880,0,1987,0,3240,3,55,762300
4,2,2290,12047,2,0,2290,0,1988,0,3130,1,50,736000
4,2,3200,12369,2,0,3200,0,1998,0,3770,2,61,725126
4,2,3030,7864,2,0,3030,0,1999,0,2790,3,74,685000
2,1,930,36478,1,2,930,0,1951,0,2800,3,79,675000
4,3,3380,8330,2,0,3380,0,2000,0,2220,2,76,655500
3,1,1630,7475,1,1,1160,470,1940,0,2320,1,65,650000
5,3,3480,36615,2,0,2490,990,1983,0,2540,3,66,650000
4,2,2060,5000,1,0,1030,1030,1949,2013,1280,1,66,612500
4,3,2450,10117,1,0,1580,870,1967,0,2530,2,78,610000
4,2,2150,37981,2,0,2150,0,1985,0,2450,2,69,609000
4,2,2110,13850,2,0,2110,0,1987,0,2520,2,50,606000
4,2,2260,29930,2,0,1400,860,1977,0,2770,3,58,599000
4,3,3569,8327,2,0,3569,0,2013,0,2550,1,69,580000
3,1,2130,6500,1,2,1170,960,1954,0,2020,3,58,575000
4,3,3100,15480,2,0,2400,700,1996,0,2000,2,67,563000
5,2,3040,8111,2,0,3040,0,1984,0,2020,3,72,562000
3,2,2000,5500,2,0,2000,0,1916,1986,1840,2,62,561000
3,2,1850,10109,2,0,1850,0,1991,0,1780,3,56,535000
5,2,1800,3780,1,0,1400,400,1926,0,1400,1,79,533000
5,2,2910,5133,1,0,1690,1220,1964,0,2830,3,54,530000
3,2,2970,11985,1,0,1770,1200,1995,0,2990,3,70,525000
3,2,2460,54885,2,0,2460,0,1980,0,2770,1,77,520000
3,1,1430,8000,1,0,1430,0,1956,0,1450,2,78,518000
3,2,1790,7167,2,0,1790,0,1989,0,1680,3,71,515000
4,2,2000,5684,2,0,2000,0,1996,0,2210,3,72,513000
3,2,1480,1171,3,0,1480,0,2006,0,1480,1,56,500000
2,1,1170,2400,1,0,740,430,1903,0,1570,1,54,499000
5,2,2020,5000,1,0,2020,0,1938,0,1510,1,57,488000
3,2,1420,4080,1,0,1420,0,1905,2013,1420,2,55,485000
2,1,1660,6000,1,0,1160,500,1942,0,1660,2,76,484000
4,2,2740,45732,2,0,2740,0,1995,0,2080,2,70,483500
6,3,3470,117612,1,0,3470,0,1924,0,2120,3,65,475000
2,1,1030,4400,1,0,1030,0,1924,0,1400,2,61,469000
3,2,1970,11088,1,0,1180,790,1967,0,1970,3,56,465000
2,2,1230,929,2,0,1020,210,2004,0,1270,2,73,460000
5,2,2240,7770,1,0,1340,900,1978,0,1820,2,52,455000
2,2,1100,3000,1,0,1100,0,1912,2005,1390,3,70,450000
4,2,1520,7983,1,0,1520,0,1967,0,1520,1,60,425000
4,2,2810,23400,1,1,1710,1100,1958,0,1860,1,71,407000
4,1,1840,10720,1,0,960,880,1958,0,1840,1,64,404000
4,2,1440,7680,1,0,1200,240,1971,0,1460,3,66,397000
3,1,1260,6500,1,0,1260,0,1966,0,1500,3,51,390000
5,3,2890,5000,1,0,1310,1580,2006,0,1930,1,72,390000
3,1,1230,9568,1,0,1230,0,1962,0,1270,2,56,387000
3,1,1900,5520,1,0,1280,620,1982,0,1330,3,50,385000
4,1,1500,11600,1,0,1000,500,1955,0,1740,2,65,379900
3,2,1270,1320,3,0,1270,0,2006,0,1370,2,59,369950
3,1,1410,9647,1,0,1410,0,1961,0,2090,2,78,367500
3,1,1310,8160,1,0,1310,0,1950,0,1090,1,69,365000
3,2,1640,14374,1,0,1140,500,1963,0,2020,2,70,362000
4,2,2680,18768,1,0,2680,0,1965,0,1230,1,54,360000
3,1,1350,7740,1,0,860,490,1947,0,1130,2,64,353000
4,2,2331,3826,2,0,2331,0,2007,0,2441,2,65,345000
3,1,1110,6250,1,0,1110,0,1956,0,2010,3,61,345000
2,1,720,6687,1,0,720,0,1942,0,840,2,53,329350
4,2,1890,12040,1,0,980,910,1980,0,1590,1,78,325000
3,1,1510,6083,1,0,860,650,1940,0,1510,2,73,313950
4,2,1300,7054,1,0,1300,0,1950,2013,1560,1,64,312000
3,2,1980,8000,1,0,1560,420,1974,0,2360,3,51,295000
4,2,2000,5390,2,0,2000,0,2003,0,2330,3,73,284000
3,1,1630,11800,1,0,1630,0,1971,0,2090,2,75,280000
3,1,1580,8151,1,1,1100,480,1962,0,1650,3,79,279900
3,2,1650,13816,2,0,1650,0,1998,0,1650,1,61,272000
3,1,1050,6874,1,0,1050,0,1954,0,1500,3,53,250000
3,1,1490,8366,1,0,1010,480,1975,0,1490,1,74,234000
2,1,900,5160,1,0,900,0,1952,0,900,2,68,219000
3,1,1850,7684,1,0,1320,530,1979,0,1940,2,55,218000
3,1,1690,7735,1,0,1060,630,1976,0,1580,2,52,197000
3,1,800,8850,1,0,800,0,1959,0,820,2,50,191000
3,1,1010,7034,1,0,1010,0,1954,0,1440,1,50,175000
3,1,1420,8580,1,0,1420,0,1962,0,1200,1,71,136500
2,1,780,16344,1,0,780,0,1942,0,1700,2,51,78000
7,4,6210,8856,2,2,4760,1450,1910,0,2940,1,64,3200000
5,4,4270,8076,2,0,3400,870,2007,0,4100,2,72,1530000
6,2,3560,6480,2,0,3560,0,1914,0,2780,2,66,1500000
3,3,2960,5500,2,2,2440,520,1937,1990,2960,3,80,1340000
4,4,4460,103382,2,0,4460,0,2001,0,3470,3,77,1150000
4,1,2310,13300,1,0,1890,420,1950,0,2840,2,61,1110000
4,3,3900,8391,2,0,3900,0,2006,0,3820,2,73,1040000
4,2,1890,5940,1,1,1470,420,1963,0,2430,1,62,940000
5,3,4130,226076,2,0,3170,960,1985,0,4130,3,55,900000
4,2,2210,8556,1,1,1210,1000,1954,0,2190,1,65,794154
3,2,2540,7200,1,3,1600,940,1905,0,2040,2,72,775000
4,2,2410,9549,1,0,1780,630,1956,0,2090,2,63,758000
3,2,2520,23790,1,0,1360,1160,1946,0,1800,2,80,750000
4,2,2600,6050,2,0,1960,640,1949,0,1990,2,78,749950
4,2,2650,4316,1,0,1520,1130,1905,2013,1690,3,53,705000
3,2,1760,6428,1,0,980,780,1942,0,1760,3,74,690000
3,1,1680,10500,1,0,1680,0,1959,0,2250,2,70,675000
4,4,3680,18804,2,0,3680,0,1990,0,3200,2,79,675000
3,2,3240,108366,2,0,3240,0,1991,0,2090,2,71,651000
3,3,2270,5175,2,0,2130,140,2002,0,2850,1,62,640000
3,2,2680,327135,2,0,2680,0,1995,0,2020,1,55,630000
2,2,2550,5663,1,0,1720,830,2011,0,2560,3,80,630000
3,2,2030,6500,2,0,2030,0,1988,0,2030,1,66,618080
3,3,1680,1570,3,0,1680,0,2014,0,1640,3,62,610950
3,2,2460,108900,1,0,1860,600,1977,0,2870,1,55,600000
9,4,3830,6988,2,0,2450,1380,1938,0,1460,1,62,599999
3,1,1960,4788,1,0,1090,870,1920,0,1960,2,66,599000
4,2,2510,13695,1,0,1280,1230,1961,2001,1220,2,74,581000
4,2,1650,5000,1,0,1650,0,1955,0,1690,3,53,575000
3,2,2350,5080,1,0,1780,570,1929,0,1700,1,65,568000
3,3,4120,60392,2,2,3180,940,1994,0,2770,3,51,560000
3,2,1860,13374,1,0,1860,0,1985,0,1960,3,57,560000
7,5,3700,7647,2,1,3700,0,1948,1984,2510,1,65,540000
3,1,2720,149410,1,0,2720,0,1988,0,2560,1,58,535000
3,2,2280,2289,2,0,1880,400,2006,0,2280,3,65,535000
3,1,1340,4284,1,0,1080,260,1910,0,1960,2,71,530000
2,2,1550,2400,1,0,1550,0,1900,0,1180,3,66,526000
3,2,1170,1249,3,0,1170,0,2014,0,1350,3,59,519950
3,1,1580,9147,1,1,1210,370,1967,0,2600,3,62,515000
4,2,2430,5203,2,0,2430,0,2003,0,2260,3,58,510000
3,2,1540,6760,1,0,1210,330,1980,0,1540,3,67,503000
2,1,1010,3885,1,0,1010,0,1906,1990,1770,1,65,500000
3,2,1940,37565,1,0,1940,0,1987,0,2560,1,69,500000
3,1,990,6000,1,0,990,0,1943,0,1250,1,57,495000
4,2,2656,21195,2,0,2656,0,2014,0,1860,1,72,495000
4,2,3305,16164,1,0,2245,1060,1922,1956,1620,1,58,492000
3,2,1610,4160,1,0,1010,600,1917,0,1040,2,70,485000
4,2,2180,11200,1,0,2180,0,1968,0,1790,1,76,480500
2,1,820,2723,1,0,820,0,1921,0,1370,1,80,475000
3,2,1760,9055,2,0,1760,0,1985,0,2010,2,61,460000
3,1,1500,6180,1,0,1060,440,1947,0,1740,3,68,440000
2,2,1350,3900,1,0,1350,0,2003,0,1440,1,80,428000
2,2,1150,1027,3,0,1150,0,2008,0,1360,2,61,425000
2,1,1040,3500,1,0,1040,0,1904,0,1340,2,72,420000
3,2,1770,8165,2,0,1770,0,1977,0,1650,2,73,420000
3,2,1606,1452,3,0,1606,0,2009,0,1516,2,71,417250
4,3,1830,9548,2,0,1830,0,1991,0,1740,1,66,415000
4,2,2140,13000,1,0,1320,820,1968,0,2360,3,67,409500
3,2,1660,8307,1,0,1660,0,1961,0,2510,3,74,405000
5,1,3000,6000,1,0,1500,1500,1958,0,2230,1,66,380000
2,1,1640,17335,1,0,840,800,1978,0,2440,3,66,379500
3,2,1830,13042,2,0,1830,0,1990,0,1940,1,50,375000
5,2,2410,5003,1,0,1410,1000,2008,0,1590,3,78,365000
2,1,820,6400,1,0,820,0,1944,0,1490,2,66,361280
5,2,2420,8560,1,2,1620,800,1978,0,2210,2,55,352000
3,1,1010,9360,1,0,1010,0,1981,0,1470,1,67,350000
3,2,1630,12295,2,0,1630,0,1985,0,1730,2,59,339950
2,1,820,681,3,0,820,0,2006,0,820,2,56,339950
3,2,1570,7200,1,0,1570,0,1952,0,1410,3,59,335000
3,1,1040,16986,1,0,1040,0,1968,0,1660,1,76,314950
3,1,1870,12381,1,0,1870,0,1957,0,1950,2,77,314500
3,1,2190,1716,1,0,2190,0,1967,0,1980,1,66,313000
3,1,1840,10723,1,0,1220,620,1974,0,1590,2,62,310000
3,1,2070,37904,1,0,1420,650,1973,0,2011,2,76,310000
3,2,1600,3573,2,0,1600,0,2013,0,1500,2,73,305450
2,1,760,3001,1,0,760,0,1913,0,1750,2,73,300000
3,2,1600,4271,2,0,1600,0,2000,0,1700,2,62,280000
3,2,1600,7000,2,0,1600,0,1993,0,1700,2,56,275000
5,1,1500,7112,1,0,760,740,1920,0,1200,1,63,265000
5,2,2060,8632,1,0,1030,1030,1962,0,1010,1,60,255000
3,1,1250,10122,1,0,1250,0,1994,0,1980,1,53,253000
1,1,1100,4373,1,0,820,280,1947,0,1100,3,62,250000
3,1,1110,8423,1,0,1110,0,1952,0,1140,3,69,249000
4,1,1720,10018,1,0,1720,0,1960,0,1220,3,66,248500
3,1,1400,7410,1,0,1400,0,1944,0,1070,2,61,246000
3,1,1260,1270,2,0,1040,220,2005,0,1260,3,65,245000
3,2,1410,7566,1,0,1410,0,1985,0,1570,2,73,239900
3,2,1920,9180,2,0,1920,0,1988,0,1930,1,80,230000
3,1,1640,10762,1,0,1130,510,1988,0,1680,2,78,226500
3,1,1380,11130,1,0,1380,0,1960,0,1380,1,78,209950
4,1,1490,6600,1,0,1490,0,1969,0,1280,2,68,185000
2,1,1040,13100,1,0,1040,0,1912,0,910,1,66,160000
2,1,910,22000,1,0,910,0,1956,0,1326,2,79,100000
6,3,3510,5760,2,0,3510,0,1906,0,3450,3,55,1750000
3,1,2430,12757,1,2,1340,1090,1952,0,2930,3,59,1500000
5,3,2800,3200,1,0,1910,890,1932,2002,2450,3,79,1310000
4,3,3820,24166,2,1,3310,510,1990,0,2900,1,72,1250000
4,3,2920,33976,1,3,1460,1460,1964,0,2970,2,67,1050000
4,1,3410,5000,2,0,2190,1220,1910,0,2550,1,58,1040000
3,2,2015,16807,2,4,2015,0,2007,0,1780,2,71,988500
5,2,3160,11470,1,0,1780,1380,1971,0,3260,2,52,980000
3,3,2640,4080,2,0,1840,800,1912,2000,1990,1,78,930000
3,2,2920,3942,3,0,2920,0,2008,0,2920,3,65,868500
4,2,1910,6960,1,0,1910,0,1941,0,1360,1,63,835000
5,3,3040,9601,1,0,1970,1070,1968,0,3180,2,50,830000
3,2,3010,1842,2,0,3010,0,2011,0,2950,3,58,785000
4,1,2480,9195,1,0,1390,1090,1950,0,2440,2,75,780000
4,2,2660,5500,2,2,2660,0,2003,0,3620,2,64,753888
3,2,1690,4500,1,1,1690,0,1928,0,2140,3,51,719000
4,2,3290,6465,2,0,3290,0,2002,0,3100,3,63,716500
3,1,1250,4620,1,0,1150,100,1900,0,1900,1,60,712000
3,1,1320,5750,1,0,1320,0,1918,0,1440,2,52,660000
4,1,2060,26036,1,0,1160,900,1947,0,2590,1,69,647500
2,1,1230,3600,1,0,1230,0,1925,0,1210,2,79,636000
2,1,1540,6872,1,0,820,720,1946,0,1420,3,72,615000
3,2,1750,3354,2,0,1750,0,1991,0,1750,2,66,595000
2,3,3160,66646,2,0,3160,0,1993,0,3140,2,60,589900
4,2,2250,41688,2,0,2250,0,1980,0,2350,2,55,569000
2,2,1870,4950,1,0,1870,0,2006,0,1670,2,76,559950
2,2,1360,1349,2,0,1050,310,1997,0,1430,2,65,553650
3,2,1780,191228,2,2,1780,0,1988,0,2440,3,68,545000
6,2,2820,15600,1,2,1970,850,1940,0,2520,3,62,543200
4,1,1840,9600,1,0,1220,620,1967,0,1770,1,78,538000
4,2,2550,4630,2,0,2550,0,2005,0,2550,1,69,537500
4,2,2280,65836,2,0,2280,0,2004,0,2300,3,65,535000
3,1,1670,4080,1,0,1170,500,1967,0,1560,1,62,533000
3,1,1980,6760,1,0,1980,0,1973,0,2120,2,77,530000
4,2,2280,2850,1,0,1540,740,1930,0,1680,2,50,530000
3,2,2430,73151,1,0,2430,0,1974,0,2800,3,53,524000
2,1,1060,4960,1,0,1060,0,1926,0,1420,3,57,515000
3,1,1410,1197,3,0,1410,0,2012,0,1350,3,54,500000
2,1,1110,957,2,0,930,180,2005,0,1680,2,56,499000
3,2,2310,6250,2,0,2310,0,2011,0,2440,3,58,494000
5,2,2440,20828,1,0,2440,0,1975,0,2670,2,50,489990
3,2,1510,43560,1,0,1510,0,1954,0,2060,2,78,450000
2,1,1020,1060,3,0,1020,0,2008,0,1340,2,69,441750
2,1,980,1179,2,0,980,0,2010,0,1190,3,77,438000
3,1,1310,9282,1,0,1310,0,1976,0,1310,3,68,437000
3,1,1460,7700,1,0,1460,0,1979,0,1720,1,63,424500
3,2,1540,3200,3,0,1470,70,2008,0,1540,1,53,413450
2,1,1020,8155,1,0,1020,0,1948,0,1430,3,69,405000
3,2,2090,8354,2,0,2090,0,2012,0,2280,1,60,403000
3,2,1960,8000,1,0,1290,670,1977,0,1960,1,66,402000
3,1,1890,9920,1,0,1230,660,1944,0,1380,1,75,385000
6,2,3206,5793,2,0,3206,0,2012,0,2527,3,77,375000
2,1,960,1808,2,0,960,0,1993,0,1290,2,68,358000
4,1,2250,13515,1,0,2150,100,1940,0,2150,1,58,350000
3,1,1590,9620,1,0,1590,0,1988,0,2980,2,66,349000
4,2,2460,7350,2,0,2460,0,1989,0,2390,2,76,347500
3,1,2240,87625,1,0,1480,760,1980,0,1920,2,63,335000
2,2,1550,435600,1,0,1550,0,1972,0,1600,3,75,330000
4,2,2320,6270,2,0,2320,0,2004,0,2150,2,51,325900
2,1,860,1277,2,0,860,0,2007,0,1280,2,52,321950
3,1,1890,1716,1,0,1890,0,1966,0,1500,2,74,307000
3,2,1240,10800,1,0,1240,0,1967,2010,1480,2,74,297950
2,1,2200,89298,1,0,1100,1100,1973,0,2590,3,74,295000
3,2,1920,7229,2,0,1920,0,1993,0,2310,1,64,295000
4,2,1810,6509,2,0,1810,0,1994,0,1760,1,59,270000
3,2,1940,8547,1,0,1460,480,1989,0,1750,2,52,266000
4,2,2020,6236,2,0,2020,0,2002,0,1940,1,78,262000
4,1,2130,8800,1,0,1100,1030,1962,0,1480,3,63,260000
4,1,1730,8320,1,0,1230,500,1977,0,1840,2,53,258000
